Year,Election Date,Election Type,Votes Cast,Electoral District,Party,Candidate,Plurality
2022,2022-06-02,General Election,127,Ajax,IND,INTAB ALI,0
2022,2022-06-02,General Election,15336,Ajax,PCP,PATRICE BARNES,1775
2022,2022-06-02,General Election,13561,Ajax,LIB,AMBER BOWEN,0
2022,2022-06-02,General Election,330,Ajax,ONP,AARON HOPKINS,0
2022,2022-06-02,General Election,625,Ajax,NBO,GARRY READER,0
2022,2022-06-02,General Election,1305,Ajax,GPO,NEIL RUNNALLS,0
2022,2022-06-02,General Election,6291,Ajax,NDP,CHRISTINE SANTOS,0
2022,2022-06-02,General Election,112,Ajax,IND,ALLEN HADLEY,0
2022,2022-06-02,General Election,8692,Algoma—Manitoulin,PCP,CHERYL FORT,0
2022,2022-06-02,General Election,1302,Algoma—Manitoulin,NBO,RON KOSKI,0
2022,2022-06-02,General Election,11252,Algoma—Manitoulin,NDP,MICHAEL MANTHA,2560
2022,2022-06-02,General Election,2133,Algoma—Manitoulin,LIB,TIM VINE,0
2022,2022-06-02,General Election,764,Algoma—Manitoulin,GPO,MARIA LEGAULT,0
2022,2022-06-02,General Election,356,Algoma—Manitoulin,ONP,FREDERICK WEENING,0
2022,2022-06-02,General Election,732,Aurora—Oak Ridges—Richmond Hill,ONP,CATHERINE DELLERBA,0
2022,2022-06-02,General Election,10000,Aurora—Oak Ridges—Richmond Hill,LIB,MARJAN KASIRLOU,0
2022,2022-06-02,General Election,17340,Aurora—Oak Ridges—Richmond Hill,PCP,MICHAEL PARSA,7340
2022,2022-06-02,General Election,649,Aurora—Oak Ridges—Richmond Hill,NBO,ROSARIA WISEMAN,0
2022,2022-06-02,General Election,1268,Aurora—Oak Ridges—Richmond Hill,GPO,KEVIN ZHENG,0
2022,2022-06-02,General Election,2501,Aurora—Oak Ridges—Richmond Hill,NDP,REZA POURZAD,0
2022,2022-06-02,General Election,69,Aurora—Oak Ridges—Richmond Hill,MOD,IGOR STRELKOV,0
2022,2022-06-02,General Election,764,Barrie—Innisfil,ONP,GRACE DEAN,0
2022,2022-06-02,General Election,147,Barrie—Innisfil,IND,BENJAMIN HUGHES,0
2022,2022-06-02,General Election,18225,Barrie—Innisfil,PCP,ANDREA KHANJIN,11283
2022,2022-06-02,General Election,6942,Barrie—Innisfil,NDP,PEKKA REINIO,0
2022,2022-06-02,General Election,1220,Barrie—Innisfil,NBO,ASHLYN STEELE,0
2022,2022-06-02,General Election,119,Barrie—Innisfil,PPF,JAKE TUCKER,0
2022,2022-06-02,General Election,2291,Barrie—Innisfil,GPO,BONNIE NORTH,0
2022,2022-06-02,General Election,6564,Barrie—Innisfil,LIB,JOHN OLTHUIS,0
2022,2022-06-02,General Election,638,Barrie—Springwater—Oro-Medonte,ONP,GERRY AUGER,0
2022,2022-06-02,General Election,16631,Barrie—Springwater—Oro-Medonte,PCP,DOUG DOWNEY,296
2022,2022-06-02,General Election,1104,Barrie—Springwater—Oro-Medonte,NBO,HAYDEN HUGHES,0
2022,2022-06-02,General Election,16335,Barrie—Springwater—Oro-Medonte,LIB,JEFF LEHMAN,0
2022,2022-06-02,General Election,1699,Barrie—Springwater—Oro-Medonte,GPO,ELYSE ROBINSON,0
2022,2022-06-02,General Election,3093,Barrie—Springwater—Oro-Medonte,NDP,BEVERLEY PATCHELL,0
