,Electoral District,deltaPCP,deltaLIB,deltaNDP,deltaGPO,deltaLibMargin,turnout
0,Ajax,-3742,954,-8839,81,4696,0.3973954763536669
1,Algoma—Manitoulin,2551,-5264,-333,80,-4931,0.4218437908946897
2,Aurora—Oak Ridges—Richmond Hill,-7874,282,-5615,73,8156,0.3798784258362599
3,Barrie—Innisfil,-3896,1021,-5719,-899,4917,0.39367463668233177
4,Barrie—Springwater—Oro-Medonte,-3814,10125,-9798,-3655,13939,0.4649793996468511
5,Bay of Quinte,-2843,492,-6990,989,3335,0.45719647450765405
6,Beaches—East York,2203,585,-4425,3129,4112,0.49402642229487476
7,Brampton Centre,-2684,294,-6370,-171,3067,0.36461329795954867
8,Brampton East,-27,-267,-9045,34,4926,0.36086151398779565
9,Brampton North,-871,229,-8928,-471,1597,0.3820655078512712
10,Brampton South,-2672,745,-7444,-444,3417,0.35665565184861897
11,Brampton West,317,-11135,-1933,-578,-6662,0.34028934968052355
12,Brantford—Brant,-3699,530,-10519,433,4229,0.4184610174325336
13,Bruce—Grey—Owen Sound,737,-2390,-316,1048,-3127,0.46610481254807534
14,Burlington,2287,-2457,-108,2386,-4744,0.5136480552377041
15,Cambridge,-1357,-5838,-1669,2481,-4481,0.43010435769801764
16,Carleton,-3503,2684,-4052,552,6187,0.48624411962365593
17,Chatham-Kent—Leamington,-6556,-3736,-5395,-399,2820,0.4249213428759119
18,Davenport,2514,-6138,5875,855,-12013,0.42973094116079325
19,Don Valley East,333,-4037,-1598,437,0,0.4200415912389103
20,Don Valley North,-3005,-872,-5343,140,2133,0.40521072796934865
21,Don Valley West,1381,-8267,-229,1307,0,0.49065015149290586
22,Dufferin—Caledon,5078,-1484,767,978,-6562,0.41846139889322326
23,Durham,221,-1118,1141,760,-1339,0.4349628270819921
24,Eglinton—Lawrence,3748,-4671,38,938,-524,0.46452025132228175
25,Elgin—Middlesex—London,2598,-3457,-1228,1062,-6055,0.4453654170819519
26,Essex,8877,-7332,-3624,129,-14841,0.4697249826669748
27,Etobicoke Centre,8079,-6473,-1193,1199,-6592,0.482334297626138
28,Etobicoke—Lakeshore,5273,-5033,1882,1114,-842,0.4503892055324463
29,Etobicoke North,7762,-6197,-2136,149,-8050,0.33718384397372697
30,Flamborough—Glanbrook,-2148,1003,-7635,85,3151,0.46655626678555884
31,Glengarry—Prescott—Russell,2688,184,-1932,900,-1132,0.4521623962100759
32,Guelph,-805,-12552,-6748,26518,-22489,0.4915832186203856
33,Haldimand—Norfolk,-11352,-3758,-1737,973,5425,0.48611021936864635
34,Haliburton—Kawartha Lakes—Brock,3242,-9932,-825,2133,-13174,0.47779296875
35,Hamilton Centre,379,-2062,-3896,1305,1834,0.3756105104447222
36,Hamilton East—Stoney Creek,4771,-2986,-10828,1048,5290,0.40437422381675175
37,Hamilton Mountain,1570,-9394,-5242,1165,-4152,0.41244334569427277
38,Hamilton West—Ancaster—Dundas,-2337,-2776,-5724,114,2948,0.48133139447854073
39,Hastings—Lennox and Addington,-4218,1922,-7183,-192,6140,0.46898720184725734
40,Humber River—Black Creek,-2502,-1566,-3614,-55,2048,0.3267357571638917
41,Huron—Bruce,5231,-5884,-1650,1150,-11115,0.5384315076357791
42,Kanata—Carleton,-3218,1582,-4547,-324,4800,0.5123796887649545
43,Kenora—Rainy River,1260,-379,-7750,217,1003,0.3962739049969155
44,King—Vaughan,-5697,-354,-5081,-650,5343,0.39573656912834804
45,Kingston and the Islands,2363,-2668,4945,7,0,0.46604716972113075
46,Kitchener Centre,-4693,-9664,8404,4042,-10061,0.4590368980612883
47,Kitchener—Conestoga,-2972,-7886,3686,1194,-4914,0.48577779500898177
48,Kitchener South—Hespeler,-2743,-706,-6623,795,2037,0.41838690115221344
49,Lambton—Kent—Middlesex,5554,-8360,-895,701,-13914,0.46994602143625097
50,Lanark—Frontenac—Kingston,-4052,1603,-6193,572,5655,0.4973995857348703
51,Leeds—Grenville—Thousand Islands and Rideau Lakes,-5345,1203,-3889,236,6548,0.4891849206894184
52,London—Fanshawe,2149,-6125,2170,348,-8295,0.36314684869941277
53,London North Centre,423,-10154,7168,613,-8069,0.4192493699339282
54,London West,2283,-16533,11753,519,-16433,0.4836948616754099
55,Markham—Stouffville,-4736,1505,-6860,-430,6241,0.4427690406991463
56,Markham—Thornhill,-4932,1603,-5413,-126,6535,0.39512342874451006
57,Markham—Unionville,8265,-8805,-1996,195,-9211,0.3888382712932369
58,Milton,-1483,2022,-5963,-588,3505,0.4245223346710871
59,Mississauga Centre,-3141,1158,-7898,39,4299,0.37837656078369836
60,Mississauga East—Cooksville,2426,-2901,-2040,411,-1206,0.3932619537544031
61,Mississauga—Erin Mills,-3938,1989,-8500,298,5927,0.4140626737539755
62,Mississauga—Lakeshore,-3179,-2868,-6088,588,311,0.46732332367233975
63,Mississauga—Malton,-1684,1025,-7211,499,2709,0.36252014139572064
64,Mississauga—Streetsville,6662,-5112,-940,-192,-3838,0.42524682651622003
65,Nepean,-6776,4646,-6675,-1043,11422,0.4562495423592297
66,Newmarket—Aurora,-2754,-3085,-1233,1076,-331,0.4418139450751732
67,Niagara Centre,-2827,-287,-5258,62,4971,0.4316827119496328
68,Niagara Falls,2046,-12555,11903,597,-19968,0.4333611658675573
69,Niagara West,-5615,3154,-5111,112,8769,0.528467928536206
70,Nickel Belt,3556,-4409,-1265,111,-3144,0.4531079607415485
71,Nipissing,11,-4625,3098,54,-4636,0.47909927648336537
72,Northumberland—Peterborough South,-967,-1667,-7998,202,-700,0.5146545223637735
73,Oakville,4031,-4157,-1471,1538,-3608,0.49930308358708236
74,Oakville North—Burlington,-3470,3144,-8823,-25,6614,0.4659595729734543
75,Orléans,-5583,-990,-6883,756,0,0.4642575676159771
76,Oshawa,-296,-3195,2854,606,-3646,0.39294964998603793
77,Ottawa Centre,-484,-11050,15596,534,-17715,0.5049745163538922
78,Ottawa South,-5555,-3560,3631,443,0,0.4219145544894834
79,Ottawa—Vanier,-1131,-3487,2560,1300,0,0.3915301597586409
80,Ottawa West—Nepean,3524,-2969,13292,-884,-6312,0.4675298537501677
81,Oxford,1508,-3953,3619,761,-5461,0.4620284174424302
82,Parkdale—High Park,1602,-5330,4659,1262,-9989,0.4998594057549911
83,Parry Sound—Muskoka,799,-6537,-3100,14851,-7336,0.5286900806834361
84,Perth—Wellington,4623,-7927,3334,1709,-12550,0.49818556355318155
85,Peterborough—Kawartha,-2699,1052,-9322,-110,3751,0.5126415629924728
86,Pickering—Uxbridge,-3239,1494,-10099,161,4733,0.44956532590158477
87,Renfrew—Nipissing—Pembroke,-3031,-2303,2595,896,728,0.4601170099492804
88,Richmond Hill,2325,-8217,-2182,-351,-6263,0.358823186717157
89,St. Catharines,-610,-9991,8504,698,-9953,0.46420730919891523
90,Sarnia—Lambton,1614,-4619,-818,699,-6233,0.46326165907649736
91,Sault Ste. Marie,9129,-14499,992,156,-10996,0.44254954895634424
92,Scarborough—Agincourt,3609,-4235,-2505,-94,-3368,0.3921020922335415
93,Scarborough Centre,3960,-6464,1482,334,-1793,0.4093220992062473
94,Scarborough—Guildwood,-14,-2202,-1370,405,0,0.41265519649908056
95,Scarborough North,-4767,231,-3500,-64,4998,0.39051497792099293
96,Scarborough—Rouge Park,-235,999,-7519,-164,1234,0.4494507872261891
97,Scarborough Southwest,2689,-8029,6438,474,-10286,0.44035302036847745
98,Simcoe—Grey,1728,1283,-990,685,-445,0.4330906619278865
99,Simcoe North,-2040,-2121,498,1583,-81,0.46017883963118056
100,Spadina—Fort York,-4613,-2307,-9082,87,6775,0.34123160653094137
101,Stormont—Dundas—South Glengarry,-697,-1955,-3039,926,-1258,0.4138523772962195
102,Sudbury,4119,-8008,-1191,610,-6286,0.4429617134078381
103,Thornhill,-2576,-8126,-1326,399,-5550,0.3953821309541534
104,Thunder Bay—Atikokan,3842,-3833,-1122,402,-3171,0.4282609045679231
105,Thunder Bay—Superior North,3026,-4799,-707,183,-1438,0.4295229460175757
106,Timiskaming—Cochrane,2687,-4932,-2898,1173,-2034,0.4231655210848969
107,Timmins,4722,-1378,-4707,50,-1756,0.4324267657101779
108,Toronto Centre,260,531,6580,1001,-2465,0.395624688448815
109,Toronto—Danforth,2068,-2129,2828,1159,-4957,0.49145507522150206
110,Toronto—St. Paul's,-4335,-3298,-3551,612,253,0.47700850447842214
111,University—Rosedale,-3896,-726,-10576,3252,9850,0.42983815028901734
112,Vaughan—Woodbridge,-2347,-1127,-4327,-278,1220,0.437365444261996
113,Waterloo,-3797,-326,-6700,497,6374,0.4818147691317638
114,Wellington—Halton Hills,1554,-4414,1618,5693,-5968,0.480930124087804
115,Whitby,-4631,2115,-10634,439,6746,0.4462728319894685
116,Willowdale,-423,-9994,2956,269,-2115,0.3950739285982337
117,Windsor—Tecumseh,9941,-10348,-677,172,-12094,0.4037261226541555
118,Windsor West,2735,-9968,2851,-172,-9236,0.3331969148433811
119,York Centre,1441,-5710,-644,264,-3963,0.3847826979111093
120,York—Simcoe,364,-3177,-2524,1212,-3541,0.38832110597514946
121,York South—Weston,7697,-6428,-2729,296,-3761,0.3777228890240421
122,Kiiwetinoong,-339,-702,-490,-248,-212,0.30179951843872765
123,Mushkegowuk—James Bay,-201,-480,-1404,-26,924,0.3925228588432614
124,Whitby—Oshawa,-7446,-8123,-2693,-610,-677,0.28759091517558344
125,Scarborough—Rouge River,2850,-7974,-6181,-238,-2424,0.2786679686633081
126,Niagara West—Glanbrook,-7267,-7711,-911,-480,-444,0.32052588267565346
127,Ajax—Pickering,281,-19606,2322,746,-14999,0.49619315056596125
128,Ancaster—Dundas—Flamborough—Westdale,1120,-21648,-106,1162,-18252,0.581248047569291
129,Barrie,140,-15006,-196,1109,-15146,0.48376478960946534
130,Bramalea—Gore—Malton,-493,-14349,6893,1186,-21242,0.44399083106061876
131,Brampton—Springdale,-2773,-15663,8135,411,-13513,0.44744980089807673
132,Brant,-314,-16867,2986,1138,-15447,0.5176971596159254
133,Carleton—Mississippi Mills,2344,-19144,2373,2757,-21488,0.5551199083130111
134,Chatham—Kent—Essex,-938,-11631,3249,944,-10693,0.5028232674794458
135,Halton,1709,-23080,2001,1332,-24789,0.5032245560805437
136,Kitchener—Waterloo,-7215,-17837,12286,1551,-16708,0.5433189399041318
137,Lanark—Frontenac—Lennox and Addington,-491,-12490,2080,1529,-11999,0.5330925069184781
138,Leeds—Grenville,4743,-5573,5802,-100,-10316,0.5222187244223383
139,Mississauga—Brampton South,964,-15579,1486,55,-11251,0.4090981090981091
140,Mississauga—Erindale,-820,-20552,-38,363,-15474,0.4634613662816725
141,Mississauga South,15,-20375,605,558,-14514,0.5300557710960233
142,Nepean—Carleton,916,-14844,501,1989,-15760,0.5475557102486969
143,Northumberland—Quinte West,304,-18572,622,800,-18876,0.550770630148062
144,Oak Ridges—Markham,6306,-28878,807,1222,-30256,0.4555865842994556
145,Ottawa—Orléans,-478,-21857,43,1150,-18525,0.5868798421129984
146,Peterborough,584,-19430,-2732,1052,-15907,0.5663448978941668
147,Pickering—Scarborough East,-395,-18201,176,468,-12638,0.5412394871421993
148,Prince Edward—Hastings,465,-15686,1450,399,-16151,0.5092275316490563
149,St. Paul's,3065,-25048,-2068,1389,-12037,0.5653337832517856
150,Timmins—James Bay,-3289,-2870,277,170,-3147,0.44694346083505193
151,Trinity—Spadina,2615,-18731,-2428,1618,-16303,0.48753862347628263
152,Vaughan,1559,-26174,1348,656,-16979,0.441770630231774
153,Welland,-1115,-8638,1799,869,-10437,0.5231656028328158
154,York West,59,-11455,2096,131,-9997,0.417564778720477
