,Election Date,Electoral District,Electorate,Votes Cast,IND,PCP,LIB,NDP,GPO
0,2022-06-02,Ajax,94835,37687,239,15336,13561,6291,1305
1,2018-06-07,Ajax,90206,48860,220,19078,12607,15130,1224
2,2022-06-02,Algoma—Manitoulin,58076,24499,,8692,2133,11252,764
3,2018-06-07,Algoma—Manitoulin,55544,29211,,7143,2365,17105,1025
4,2014-06-12,Algoma—Manitoulin,54395,26533,,4589,2365,14171,828
5,2011-10-06,Algoma—Manitoulin,52919,26024,,6141,7397,11585,684
6,2022-06-02,Aurora—Oak Ridges—Richmond Hill,85709,32559,,17340,10000,2501,1268
7,2018-06-07,Aurora—Oak Ridges—Richmond Hill,81979,44998,,25214,9718,8116,1195
8,2022-06-02,Barrie—Innisfil,92137,36272,147,18225,6564,6942,2291
9,2018-06-07,Barrie—Innisfil,82557,44272,147,22121,5543,12661,3190
10,2022-06-02,Barrie—Springwater—Oro-Medonte,84950,39500,,16631,16335,3093,1699
11,2018-06-07,Barrie—Springwater—Oro-Medonte,80951,45689,335,20445,6210,12891,5354
12,2022-06-02,Bay of Quinte,94852,43366,,21381,8003,9073,2719
13,2018-06-07,Bay of Quinte,90324,50442,379,24224,7511,16063,1730
14,2022-06-02,Beaches—East York,82279,40648,,7536,14398,13500,4154
15,2018-06-07,Beaches—East York,82386,49914,161,9202,13480,24064,2128
16,2014-06-12,Beaches—East York,77381,42948,161,5982,13480,16737,2329
17,2011-10-06,Beaches—East York,74450,38285,161,5333,13813,17925,1025
18,2022-06-02,Brampton Centre,67093,24463,,10119,6119,6522,882
19,2018-06-07,Brampton Centre,67432,33598,,12803,5825,12892,1053
20,2022-06-02,Brampton East,80463,29036,,12869,6131,9017,557
21,2018-06-07,Brampton East,75002,38495,,12896,6398,18062,523
22,2022-06-02,Brampton North,78586,30025,,13509,8639,5949,895
23,2018-06-07,Brampton North,77609,39624,,14380,8410,14877,1366
24,2022-06-02,Brampton South,80195,28602,,12980,7957,5475,1028
25,2018-06-07,Brampton South,77279,38169,,15652,7212,12919,1472
26,2022-06-02,Brampton West,90617,30836,,14751,8089,6398,854
27,2018-06-07,Brampton West,80196,37961,,14951,7013,14461,999
28,2014-06-12,Brampton West,131434,54902,,13363,7013,12985,1504
29,2011-10-06,Brampton West,115431,43930,,14434,19224,8331,1432
30,2022-06-02,Brantford—Brant,112204,46953,157,20738,6083,13283,3174
31,2018-06-07,Brantford—Brant,102861,58188,157,24437,5553,23802,2741
32,2022-06-02,Bruce—Grey—Owen Sound,89703,41811,201,20304,8499,5817,3702
33,2018-06-07,Bruce—Grey—Owen Sound,85044,49128,201,26874,6041,11837,2927
34,2014-06-12,Bruce—Grey—Owen Sound,80646,42816,201,20359,6041,6787,3696
35,2011-10-06,Bruce—Grey—Owen Sound,75809,41306,1478,19567,10889,6133,2654
36,2022-06-02,Burlington,102249,52520,,22348,15452,9262,3515
37,2018-06-07,Burlington,100455,63055,,25504,15515,18053,2828
38,2014-06-12,Burlington,95504,54309,,20086,15515,7792,2250
39,2011-10-06,Burlington,90964,49644,,20061,17909,9370,1129
40,2022-06-02,Cambridge,91608,39401,,14590,8155,8745,3537
41,2018-06-07,Cambridge,88380,48131,,17793,11191,15639,3018
42,2014-06-12,Cambridge,100130,48201,,15694,11191,10413,2726
43,2011-10-06,Cambridge,92310,42310,271,15947,13993,10414,1056
44,2022-06-02,Carleton,95232,46306,,22295,12452,7256,2537
45,2018-06-07,Carleton,81901,50258,,25798,9768,11308,1985
46,2022-06-02,Chatham-Kent—Leamington,86769,36870,,17522,,11163,1244
47,2018-06-07,Chatham-Kent—Leamington,82799,46373,358,24078,3736,16558,1643
48,2022-06-02,Davenport,82547,35473,216,4994,6815,20242,1710
